id_establecimiento,capacidad,cod_localidad
111001000078,167,16
111001000124,343,8
111001000132,455,1
111001000272,466,10
111001000612,107,12
111001001121,151,10
111001001279,329,8
111001001538,360,10
111001002330,357,11
111001002909,838,7
111001006122,237,16
111001006483,387,10
111001008389,199,12
111001009148,204,12
111001009521,263,10
111001009580,217,10
111001009652,467,6
111001009831,176,3
111001009971,335,10
111001010031,697,7
111001010251,695,6
111001010421,241,12
111001010731,264,13
111001010740,659,10
111001010839,176,3
111001010910,241,8
111001010928,395,18
111001011011,723,6
111001011029,318,18
111001011045,276,16
111001011053,281,15
111001011070,211,10
111001011088,127,12
111001011274,292,16
111001011321,382,8
111001011690,407,8
111001011771,129,10
111001011819,643,18
111001011908,411,15
111001011975,19,4
111001012033,164,4
111001012246,25,4
111001012271,311,6
111001012301,176,4
111001012335,307,4
111001012343,377,8
111001012360,292,8
111001012441,171,10
111001012459,189,10
111001012483,269,10
111001012530,253,16
111001012556,96,16
111001012602,404,15
111001012611,292,18
111001012815,210,18
111001012963,274,16
111001012971,141,18
111001013102,417,8
111001013129,453,8
111001013153,480,8
111001013161,451,8
111001013170,355,8
111001013242,249,3
111001013293,170,10
111001013323,235,17
111001013374,173,17
111001013676,672,7
111001013811,450,18
111001013820,249,5
111001013935,153,5
111001014001,198,14
111001014028,83,18
111001014109,600,7
111001014168,286,4
111001014176,346,4
111001014206,348,6
111001014214,470,6
111001014290,324,8
111001014346,339,9
111001014451,104,4
111001014486,402,19
111001014524,298,19
111001014591,301,18
111001014630,150,15
111001014664,285,18
111001014729,65,16
111001014745,74,16
111001014826,195,16
111001014869,105,16
111001014885,242,16
111001014958,133,18
111001014974,196,8
111001015172,272,18
111001015458,311,10
111001015598,419,8
111001015601,364,8
111001015733,191,18
111001015776,224,11
111001015806,196,10
111001015814,311,10
111001015903,245,4
111001015911,482,4
111001016004,155,4
111001016039,288,5
111001016071,386,8
111001016098,138,8
111001016101,241,8
111001016136,270,8
111001016250,126,14
111001016292,300,8
111001016314,146,2
111001016772,201,14
111001017795,275,10
111001018058,295,18
111001018201,413,6
111001018252,131,4
111001018309,150,4
111001018325,181,4
111001018333,263,4
111001018341,195,4
111001018368,309,4
111001018384,187,4
111001019411,576,6
111001019526,269,14
111001020095,228,18
111001020168,383,16
111001020320,404,19
111001020443,179,4
111001024643,210,5
111001024660,374,8
111001024686,221,4
111001024732,1015,8
111001024830,183,12
111001025020,546,11
111001025216,226,10
111001025313,124,14
111001026069,249,14
111001026964,384,8
111001027251,308,19
111001027308,211,8
111001027324,230,4
111001027332,341,18
111001027383,339,18
111001027391,952,8
111001027405,248,8
111001028258,208,12
111001028266,141,19
111001028380,221,18
111001029114,257,8
111001029912,186,12
111001029955,366,1
111001030015,763,18
111001030066,495,4
111001030821,243,19
111001030830,336,19
111001030848,408,19
111001030856,164,14
111001030864,166,4
111001030872,327,5
111001032255,259,12
111001032280,250,4
111001032395,107,18
111001032409,184,3
111001032433,154,4
111001032450,308,6
111001033898,340,8
111001033928,340,19
111001033979,323,10
111001034002,73,10
111001034011,152,4
111001034045,213,8
111001034134,147,18
111001034240,441,19
111001034754,263,19
111001035521,131,10
111001035530,638,4
111001035572,470,19
111001035602,369,4
111001036544,194,3
111001036561,178,19
111001036625,183,10
111001036765,345,18
111001036781,619,19
111001041459,158,14
111001041475,413,8
111001041556,181,5
111001041599,76,7
111001041611,304,18
111001044270,324,5
111001044385,466,19
111001044806,232,1
111001045225,634,11
111001045535,200,16
111001045705,256,5
111001045730,395,19
111001046299,273,10
111001046477,626,7
111001046485,227,5
111001046591,295,7
111001046621,174,4
111001046663,90,19
111001046931,220,5
111001046957,456,1
111001047457,153,19
111001047571,433,19
111001047678,496,19
111001065056,231,16
111001065234,188,5
111001075272,476,11
111001075329,506,19
111001075515,376,11
111001075663,327,19
111001075736,173,6
111001075752,161,19
111001075957,349,6
111001076376,625,18
111001076767,543,8
111001076937,596,19
111001077895,423,5
111001077917,213,5
111001078638,220,5
111001078930,124,18
111001079154,322,8
111001083011,485,5
111001086584,355,19
111001086606,182,7
111001086614,358,5
111001086631,184,6
111001086649,314,8
111001086665,562,11
111001086681,482,1
111001086720,203,15
111001086754,286,7
111001086762,195,19
111001086771,489,8
111001086789,131,4
111001086801,769,19
111001086835,844,19
111001092410,417,19
111001093084,545,11
111001094439,358,5
111001094889,383,11
111001094897,217,13
111001094901,69,3
111001096555,338,19
111001098612,207,1
111001098817,195,4
111001098825,207,4
111001098841,188,5
111001098850,188,5
111001098868,121,5
111001098876,178,7
111001098884,166,7
111001098892,205,8
111001098906,295,8
111001098922,201,10
111001098931,187,10
111001098949,202,11
111001098965,188,18
111001098973,160,19
111001100013,195,19
111001100021,171,19
111001100030,238,3
111001100048,398,8
111001100056,230,7
111001100064,208,7
111001100072,235,7
111001100081,207,5
111001102008,239,5
111001102016,120,4
111001102091,259,18
111001102199,308,9
111001104035,73,10
111001104043,215,11
111001104051,229,7
111001104183,571,7
111001104256,374,11
111001104264,542,11
111001104272,363,9
111001104281,444,8
111001104299,538,7
111001104302,585,7
111001104329,684,7
111001104337,292,5
111001104345,456,5
111001104353,395,5
111001104388,443,11
111001104558,448,8
111001106950,562,7
111001106968,585,7
111001106984,572,8
111001107069,356,11
111001107077,497,11
111001107115,510,19
111001107743,378,1
111001107760,522,5
111001107778,431,8
111001107786,366,11
111001107794,292,18
111001107816,604,19
111001107832,350,7
111001107859,449,19
111001107867,522,7
111001107875,1089,7
111001107883,492,8
111001108456,342,10
111001108901,373,10
111001109304,320,19
111001109550,395,10
111001110477,310,8
111001800091,170,9
111001800163,88,11
111001800384,190,7
111001800392,87,7
111001800414,177,19
111001800422,267,19
111001800431,88,8
111001800457,266,7
111001800554,84,8
111001800562,114,5
111001800571,175,19
111001800635,177,19
111001800643,177,7
111001800660,89,5
111001800678,177,7
111001800694,178,7
111001800813,194,11
111001801047,157,4
111001801055,172,10
111001801071,168,10
111001801080,489,7
111001801098,350,7
111001801101,357,7
111001801276,38,19
111001801314,155,19
111102000265,465,7
111102000281,481,7
111102000621,231,7
111102000753,874,7
111102000958,331,7
111265000017,220,10
111265000025,656,10
