localidad_norm,n_sedes_total,n_sedes_no_oficial,n_sedes_oficial,pct_no_oficial
TEUSAQUILLO,59,56,3,94.92
USAQUEN,130,103,27,79.23
LA CANDELARIA,19,15,4,78.95
SUBA,322,251,71,77.95
FONTIBON,98,76,22,77.55
ENGATIVA,257,188,69,73.15
CHAPINERO,26,19,7,73.08
KENNEDY,262,186,76,70.99
ANTONIO NARINO,42,29,13,69.05
PUENTE ARANDA,100,68,32,68.0
TUNJUELITO,62,41,21,66.13
BARRIOS UNIDOS,63,39,24,61.9
CIUDAD BOLIVAR,76,45,31,59.21
LOS MARTIRES,36,21,15,58.33
RAFAEL URIBE URIBE,86,48,38,55.81
SAN CRISTOBAL,52,29,23,55.77
BOSA,149,83,66,55.7
SANTA FE,29,13,16,44.83
