localidad_norm,homicidios,lesiones_personales,hurto_personas,hurto_residencias,hurto_automotores,hurto_bicicletas,hurto_comercio,hurto_entidades,violencia_intrafam,delitos_sexuales
ANTONIO NARINO,25.0,789.0,8646.0,610.0,380.0,271.0,2516.0,305.0,849.0,196.0
BARRIOS UNIDOS,31.0,1214.0,18587.0,1176.0,352.0,816.0,4973.0,320.0,1281.0,275.0
BOSA,209.0,3464.0,19664.0,2638.0,681.0,1403.0,5397.0,1643.0,7523.0,1159.0
CHAPINERO,19.0,1161.0,40215.0,1590.0,165.0,867.0,11047.0,141.0,1300.0,406.0
CIUDAD BOLIVAR,450.0,4378.0,16269.0,1893.0,870.0,472.0,4561.0,1620.0,8567.0,1433.0
ENGATIVA,114.0,3260.0,44584.0,4694.0,1548.0,2840.0,11724.0,1616.0,6497.0,1001.0
FONTIBON,46.0,1556.0,27767.0,1782.0,452.0,1473.0,7516.0,505.0,3285.0,468.0
KENNEDY,277.0,5216.0,45928.0,4574.0,2662.0,2842.0,11829.0,2994.0,8341.0,1353.0
LA CANDELARIA,11.0,456.0,4540.0,160.0,54.0,60.0,1193.0,35.0,493.0,267.0
LOS MARTIRES,125.0,1566.0,18260.0,709.0,275.0,493.0,4878.0,317.0,1250.0,516.0
PUENTE ARANDA,81.0,1979.0,20917.0,1572.0,1079.0,778.0,5413.0,730.0,2327.0,548.0
RAFAEL URIBE URIBE,159.0,2500.0,13897.0,1530.0,660.0,415.0,3902.0,942.0,3177.0,716.0
SAN CRISTOBAL,113.0,2653.0,11264.0,1302.0,438.0,251.0,3279.0,810.0,4309.0,811.0
SANTA FE,113.0,1683.0,25139.0,580.0,128.0,443.0,7043.0,180.0,1602.0,514.0
SUBA,143.0,4117.0,47285.0,5010.0,938.0,2774.0,12600.0,1324.0,8047.0,1387.0
SUMAPAZ,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0
TEUSAQUILLO,12.0,1046.0,26559.0,1777.0,313.0,967.0,7306.0,237.0,1265.0,415.0
TUNJUELITO,67.0,1311.0,8872.0,687.0,293.0,367.0,2403.0,312.0,1641.0,328.0
USAQUEN,93.0,1898.0,34039.0,3332.0,363.0,1238.0,8366.0,408.0,3095.0,602.0
USME,171.0,2562.0,8404.0,1452.0,311.0,146.0,2308.0,623.0,3963.0,923.0
