id_establecimiento,nombre,localidad,direccion,lat_orig,lon_orig,lat_google,lon_google,location_type,formatted_address,status
111001086681,COLEGIO NUEVO HORIZONTE (IED),Usaquén,KR 5 B # 189 B - 30,4.76685000042591,-74.0258200004085,4.7628989,-74.02310829999999,ROOFTOP,"Cra. 3 # 186, Bogotá, Colombia",OK
111001107743,COLEGIO SALUDCOOP NORTE (IED),Usaquén,CL 181 # 18 B - 83,4.7580500000713615,-74.04041999981935,4.7580285,-74.0405804,ROOFTOP,"Cl. 181 #18b-82, Bogotá, Colombia",OK
111848002522,INSTITUTO PEDAGOGICO NACIONAL,Usaquén,AC 127 # 11 - 20,4.704169999942455,-74.03478000007156,4.704329899999999,-74.0341376,ROOFTOP,"Ac 127 #11, Bogotá, Colombia",OK
111848002689,COLEGIO DIVINO MAESTRO (IED),Usaquén,KR 8 C # 163 B - 20,4.739960000105052,-74.02774000020797,,,,,REQUEST_DENIED
111001044806,COLEGIO FRIEDRICH NAUMANN (IED),Usaquén,AK 7 # 171 B - 26,4.749210000198098,-74.02321000014771,4.749147499999999,-74.0228138,ROOFTOP,"Cl. 171b #6 B 19, Usaquén, Bogotá, Colombia",OK
111001016314,COLEGIO SIMON RODRIGUEZ (IED),Chapinero,CL 69 # 11 - 27,4.654350000248156,-74.06124999988022,4.6544243,-74.06136959999999,ROOFTOP,"Cl. 69 #11-1, Bogotá, Colombia",OK
111001094901,COLEGIO MANUEL ELKIN PATARROYO (IED),Santa Fé,CL 32 A # 3 C - 37,4.6176800004189555,-74.0645699997955,4.6176995,-74.0646271,GEOMETRIC_CENTER,"Cl. 32a, Bogotá, Colombia",OK
111001020443,COLEGIO ENTRE NUBES SUR ORIENTAL (IED),San Cristóbal,CL 43 B SUR # 1 D - 03 ESTE,4.548030000019246,-74.09750999955537,4.5479274,-74.097112,ROOFTOP,"Cl. 48 Sur #2 Este27, Bogotá, Colombia",OK
111001024686,COLEGIO MORALBA SURORIENTAL (IED),San Cristóbal,CL 43 SUR TV 16 ESTE -- KR 16 A ESTE # 42 C - 80 SUR,4.541510000061765,-74.08055000012898,4.545347,-74.0806812,APPROXIMATE,"Moralba, San Cristóbal, Bogota, Colombia",OK
111001030864,COLEGIO ALEMANIA UNIFICADA (IED),San Cristóbal,CL 37 SUR # 1 F - 00 ESTE,4.555880000315623,-74.09507000007221,4.555863200000001,-74.0969464,GEOMETRIC_CENTER,"Cra. 1f #36n Sur-2 a 36n Sur-34,, Bogotá, Colombia",OK
111001034011,COLEGIO JUAN REY (IED),San Cristóbal,CL 70 SUR # 13 B - 27 ESTE,4.522560000184006,-74.08988999973364,4.5225588,-74.0900195,ROOFTOP,"Calle 70 Sur # 13 B-27 Este, Usme, Bogotá, Colombia",OK
111001012033,COLEGIO VEINTE DE JULIO (IED),San Cristóbal,KR 7 A  # 24 - 01 SUR  --  KR 7 # 24 - 01 SUR,4.571159999709393,-74.09394000029317,4.5717265,-74.0962383,ROOFTOP,"Cl. 26 Sur #8-50, Bogotá, Colombia",OK
111001012301,COLEGIO SAN JOSE SUR ORIENTAL (IED),San Cristóbal,CL 42 SUR # 12 A - 66 ESTE,4.546309999984019,-74.08422999989435,4.546387999999999,-74.0842775,GEOMETRIC_CENTER,"Calle 42 Sur #12a Este-2 a 12a Este-98,, San Cristóbal, Bogotá, Bogotá D.C., Colombia",OK
111001015903,COLEGIO MONTEBELLO (IED),San Cristóbal,CL 26 SUR # 2 - 44 ESTE  --  CL 24 A SUR # 1 A - 95 ESTE,4.566780000207539,-74.08802000016287,4.5636578,-74.0895716,ROOFTOP,"37 ESTE, Cl. 28 Sur #1A, San Cristóbal, Bogotá, Colombia",OK
111001015911,COLEGIO LOS ALPES (IED),San Cristóbal,KR 12 ESTE # 33 A - 80 SUR,4.552699999851304,-74.08474000043061,4.5526688,-74.08475829999999,ROOFTOP,"Tv. 12 Este #33 A 80, Bogotá, Colombia",OK
111001016004,COLEGIO LA BELLEZA LOS LIBERTADORES (IED),San Cristóbal,CL 64 SUR # 10 A - 39 ESTE,4.53044000034854,-74.09219000037302,,,,,REQUEST_DENIED
111001018252,COLEGIO JOSE MARIA CARBONELL (IED),San Cristóbal,KR 4 # 0 - 43,4.559330000415492,-74.10093999997379,4.5835573,-74.0796584,ROOFTOP,"Cra 4 #0 Sur45, Bogotá, Colombia",OK
111001018309,COLEGIO ATENAS (IED),San Cristóbal,CL 36 H SUR # 2 - 15 ESTE  --  KR 1 # 36 H - 12 SUR MJ,4.55684999995353,-74.09374000027663,4.55678,-74.0934691,ROOFTOP,"Dg. 34 Sur #2A-05, Este, Bogotá, Colombia",OK
111001018325,COLEGIO JOSE JOAQUIN CASTRO MARTINEZ (IED),San Cristóbal,CL 31 D BIS SUR # 2 - 24 ESTE,4.559769999704589,-74.0929000000275,4.5596032,-74.09315509999999,GEOMETRIC_CENTER,"Bogota, San Cristóbal, Bogotá, Colombia",OK
111001018333,COLEGIO EL RODEO (IED),San Cristóbal,CL 40 A SUR # 2 - 56 ESTE,4.55130999996735,-74.09523999995153,4.5513562,-74.0952891,ROOFTOP,"Cl. 40a Sur #2-56 Este, San Cristóbal, Bogotá, Cundinamarca, Colombia",OK
111001018341,COLEGIO FRANCISCO JAVIER MATIZ (IED),San Cristóbal,KR 2 A # 29 A - 29 SUR,4.565210000556624,-74.09339999961969,4.5659225,-74.09498839999999,ROOFTOP,"Cra. 3b #30A-42S, San Cristóbal, Bogotá, Colombia",OK
111001035602,COLEGIO JUAN EVANGELISTA GOMEZ (IED),San Cristóbal,DG 39 SUR # 2 - 00 ESTE,4.552060000283302,-74.09562999993886,4.5521082,-74.095721,ROOFTOP,"Dg. 39 Sur #2 Este, Bogotá, Colombia",OK
111001046621,COLEGIO NUEVA DELHI (IED),San Cristóbal,CL 62 A SUR # 14 I - 33 ESTE,4.528330000127482,-74.08607000022619,4.5285382,-74.0875578,GEOMETRIC_CENTER,"Diagonal 60 B sur #14I -33 Este,, Bogotá, Colombia",OK
111001086789,COLEGIO RAFAEL NUÑEZ (IED),San Cristóbal,KR 9 A # 18 - 74 SUR,4.5762599999619304,-74.09320999964888,4.5762182,-74.0932181,ROOFTOP,"Cra. 9 #18-74, Bogotá, Colombia",OK
111001098825,COLEGIO SAN VICENTE (IED),San Cristóbal,KR 6 ESTE # 33 - 30 SUR,4.555239999994948,-74.08830999969278,4.5552507,-74.0881883,ROOFTOP,"Cra. 87i #70-53, Bogotá, Colombia",OK
111001104337,COLEGIO EDUARDO UMAÑA MENDOZA (IED),Usme,CL 111 A BIS SUR # 4 A - 41 ESTE,4.490119999816906,-74.11343999966013,4.4899025,-74.1131588,GEOMETRIC_CENTER,"Calle 111 sur N° 4 B - 07 Este, Bogotá, Colombia",OK
