OBJECTID,Nombre del establecimiento educativo,Id del establecimiento educativo,NIT,Nombre de la sede educativa,Id de la sede educativa,Código de planta física,Fecha de la información,Dirección,Barrio,Teléfono,Email,Página web,Sector,Naturaleza Jurídica,Clase,Orden de la sede,Estado,Régimen y Categoría de Costos,Calendario,Género,Estrato,Zona,Nombre de la Localidad,Nombre UPL,Código UPL,Código UPZ,Nombre de la UPZ,Código Postal,Sector Censal,Especialidad para la Media,Carácter para la Media,Énfasis para el cáracter académico de la Media,Tipo de Discapacidad,Talentos o Capacidades Excepcionales,Grupos étnicos,Bilingue,Forma,coord_x,coord_y
2271,COLEGIO TOBERIN (IED),111001046957,830007423,BABILONIA,111001086843,102,2024/12/31,KR 14 C # 164 - 75,LA PRADERA NORTE,6745420  --  3057924071,cedtoberin1@educacionbogota.edu.co,,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,12,TOBERIN,110131,8502,Sin información,Sin información,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,Sin Información,,"-74,03570999983405","4,742999999763575"
2272,COLEGIO TOBERIN (IED),111001046957,830007423,LAS ORQUIDEAS,111848000082,106,2024/12/31,KR 17 # 163 A - 22,LAS ORQUIDEAS,6708717  --  3057912432,cedtoberin1@educacionbogota.edu.co,,Oficial,Oficial,Distrital,C,Antiguo Activo,,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,12,TOBERIN,110131,8516,Sin información,Sin información,,INTELECTUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",AFRODESCENDIENTES-INDIGENAS,Sin Información,,"-74,04044999995659","4,743049999760964"
2273,COLEGIO NUEVO HORIZONTE (IED),111001086681,830011856,NUEVO HORIZONTE,111001086681,108,2024/12/31,KR 5 B # 189 B - 30,BUENAVISTA,3002068350  --  6745236  --  6793861  --  6796685,cednvohorizonte1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,Oficial,Oficial,Distrital,A,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Usaquén,TOBERIN,26,9,VERBENAL,110141,8532,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,Sin Información,,"-74,0258200004085","4,76685000042591"
2276,COLEGIO NUEVO HORIZONTE (IED),111001086681,830011856,TORCA,211848000141,112,2024/12/31,KR 7 CL 224 COSTADO SUR ORIENTAL,TORCA,3057927389  --  6761875,cednvohorizonte1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,Oficial,Oficial,Distrital,D,Antiguo Activo,,A,Mixto,Sin estrato,RURAL,Usaquén,CERROS ORIENTALES,6,UPR 1,ZONA NORTE,110151,108110,Académica,Académico,,AUDITIVA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",INDIGENAS,Sin Información,,"-74,02903999986631","4,8000800002722634"
2278,COLEGIO SALUDCOOP NORTE (IED),111001107743,900172786,SALUDCOOP NORTE,111001107743,137,2024/12/31,CL 181 # 18 B - 83,SAN ANTONIO NOROCCIDENTAL,6682102  --  6775954  --  6784538/72,colsaludcoopnorte@educacionbogota.edu.co,,Oficial,Oficial,Distrital,A,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Usaquén,TOBERIN,26,9,VERBENAL,110141,8528,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL E",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,Sin Información,,"-74,04041999981935","4,7580500000713615"
2281,INSTITUTO PEDAGOGICO NACIONAL,111848002522,8999991244,INSTITUTO PEDAGOGICO NACIONAL,111848002522,0,2024/12/31,AC 127 # 11 - 20,S.C. LA CAROLINA,6276927,ipn@pedagogica.edu.co,www.pedagogica.edu.co  --  www.ipn.pedagogica.edu.co,Oficial,Oficial - Régimen Especial,Oficial - Régimen Especial,A,Antiguo Activo,,A,Mixto,Estrato 6,URBANA,Usaquén,USAQUEN,25,15,COUNTRY CLUB,110121,8403,Académica,Académico,CIENCIAS NATURALES - CIENCIAS SOCIALES - ARTE O LENGUAS EXTRANJERAS,-INTELECTUAL-,,INDIGENAS,Sin Información,,"-74,03478000007156","4,704169999942455"
2283,COLEGIO USAQUEN (IED),111848002662,8999992923,LOS CEDRITOS,111848000112,125,2024/12/31,AK 9 # 146 - 40,LOS CEDROS ORIENTAL,2586668  --  2591257,colescoloniaescola1@educacionbogota.edu.co,,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 4,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110121,8509,Sin información,Sin información,,INTELECTUAL-MULTIPLE-VISUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",,Sin Información,,"-74,03212999962781","4,724380000385431"
2300,CENTRO SANTA MARIA,311001036489,8600450946,CENTRO SANTA MARIA,311001036489,0,2024/12/31,KR 11 # 185 B - 17,SAN CRISTOBAL NORTE,8050428 -- 6714440,stovar@csm.edu.co  --  lmalez@csm.edu.co,www.centrosantamaria.com.co,No Oficial,Fundación,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,9,VERBENAL,110141,8526,Sin información,Sin información,,,,,Sin Información,,"-74,0328400001806","4,762670000556472"
2285,COLEGIO UNION COLOMBIA (IED),111848002671,860531643,SANTA CLAUDIA,111848000252,130,2024/12/31,CL 189 # 7 - 05,TIBABITA,6701134  --  6771356,enalpilotodeaplica1@educacionbogota.edu.co,www.colegiounioncolombia.com,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,9,VERBENAL,110141,8521,Sin información,Sin información,,INTELECTUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS",INDIGENAS,Sin Información,,"-74,0279899995549","4,765570000244883"
2286,COLEGIO DIVINO MAESTRO (IED),111848002689,8001170006,PILOTO BAVARIA,111848002689,131,2024/12/31,KR 8 C # 163 B - 20,SAN CRISTOBAL NORTE,6681949,coldivinomaestro1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied,Oficial,Oficial,Distrital,A,Antiguo Activo,,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8505,Académica,Académico,,INTELECTUAL-MULTIPLE-SORDOCEGUERA,TALENTO EXCEPCIONAL EN ARTES Y LETRAS,INDIGENAS-NEGRITUDES,Sin Información,,"-74,02774000020797","4,739960000105052"
