DIRECTORIO,COD_UPZ_GRUPO,COD_LOCALIDAD,ESTRATO2021,NVCBP11AA,FEX_C,NPCHP4,NPCJP9AI
166238,,2,11001202,2,1.6984925,3,8
166238,,2,11001202,2,1.6984925,1,8
220102,,19,11001219,2,6.7444121,3,6
220102,,19,11001219,2,6.7444121,3,8
220102,,19,11001219,2,6.7444121,,7
220102,,19,11001219,2,6.7444121,,
220385,,20,11001220,0,1.8046324,5,8
220385,,20,11001220,0,1.8046324,5,9
220385,,20,11001220,0,1.8046324,,
220385,,20,11001220,0,1.8046324,,
220385,,20,11001220,0,1.8046324,,
222175,28,11,11001122,3,164.8021193,9,10
222175,28,11,11001122,3,164.8021193,9,7
222175,28,11,11001122,3,164.8021193,3,5
222175,28,11,11001122,3,164.8021193,,6
222175,28,11,11001122,3,164.8021193,5,8
227359,82,8,11001153,2,39.7709054,5,9
227359,82,8,11001153,2,39.7709054,5,9
227362,76,9,11001125,2,8.772423,6,9
227362,76,9,11001125,2,8.772423,3,9
227362,76,9,11001125,2,8.772423,,
229477,32,4,11001157,2,45.8920977,5,1
229477,32,4,11001157,2,45.8920977,,0
229477,32,4,11001157,2,45.8920977,,0
229477,32,4,11001157,2,45.8920977,,2
229508,39,18,11001155,3,50.5509044,3,10
229508,39,18,11001155,3,50.5509044,6,10
229508,39,18,11001155,3,50.5509044,5,5
229508,39,18,11001155,3,50.5509044,5,7
229753,82,8,11001153,2,43.918883,3,7
229753,82,8,11001153,2,43.918883,,9
233197,51,4,11001145,1,21.6003703,5,10
233197,51,4,11001145,1,21.6003703,5,10
233197,51,4,11001145,1,21.6003703,,10
233197,51,4,11001145,1,21.6003703,,
233394,,20,11001220,1,1.8046324,3,0
233394,,20,11001220,1,1.8046324,3,7
233400,,20,11001220,1,1.8046324,5,7
233400,,20,11001220,1,1.8046324,5,2
233400,,20,11001220,1,1.8046324,,
233578,79,8,11001110,2,89.3336884,5,5
233578,79,8,11001110,2,89.3336884,,
233578,79,8,11001110,2,89.3336884,,
234183,811,5,11001184,1,25.74979,5,10
234183,811,5,11001184,1,25.74979,,6
234707,,20,11001220,,1.8046324,1,10
234707,,20,11001220,,1.8046324,,
234724,,20,11001220,0,1.8046324,3,8
234724,,20,11001220,0,1.8046324,4,7
234724,,20,11001220,0,1.8046324,6,10
234724,,20,11001220,0,1.8046324,,9
234724,,20,11001220,0,1.8046324,,
234726,,20,11001220,,1.8046324,3,7
234726,,20,11001220,,1.8046324,3,7
234726,,20,11001220,,1.8046324,3,8
235439,51,4,11001145,1,27.306711,3,4
235439,51,4,11001145,1,27.306711,4,5
235439,51,4,11001145,1,27.306711,,
235439,51,4,11001145,1,27.306711,,9
235450,51,4,11001145,1,14.785448,3,9
235450,51,4,11001145,1,14.785448,3,3
235450,51,4,11001145,1,14.785448,3,9
235450,51,4,11001145,1,14.785448,5,8
235452,51,4,11001145,1,35.113129,3,8
235452,51,4,11001145,1,35.113129,3,5
235452,51,4,11001145,1,35.113129,,
235452,51,4,11001145,1,35.113129,,
235452,51,4,11001145,1,35.113129,,
235452,51,4,11001145,1,35.113129,,
235603,47,8,11001133,3,31.7776488,3,10
235603,47,8,11001133,3,31.7776488,5,10
235871,806,11,11001179,4,28.630083,11,10
236761,,3,11001203,1,2.0296443,5,7
236761,,3,11001203,1,2.0296443,,
236769,,3,11001203,1,3.824155,3,6
236774,,20,11001220,1,1.8046324,3,10
236774,,20,11001220,1,1.8046324,3,8
236774,,20,11001220,1,1.8046324,5,10
236774,,20,11001220,1,1.8046324,,
236820,,20,11001220,5,1.8046324,3,5
236833,,11,11001211,2,2.6902861,5,9
236861,,20,11001220,5,1.8046324,10,10
236861,,20,11001220,5,1.8046324,,10
236861,,20,11001220,5,1.8046324,,10
238750,70,19,11001132,1,30.14709,3,9
238750,70,19,11001132,1,30.14709,1,9
238750,70,19,11001132,1,30.14709,3,9
240364,47,8,11001133,3,52.4882236,5,6
240364,47,8,11001133,3,52.4882236,3,5
240364,47,8,11001133,3,52.4882236,5,6
240364,47,8,11001133,3,52.4882236,7,6
240364,47,8,11001133,3,52.4882236,,
240823,811,5,11001184,1,19.1811936,,10
240823,811,5,11001184,1,19.1811936,,
