DIRECTORIO,COD_UPZ_GRUPO,COD_LOCALIDAD,ESTRATO2021,NVCBP11AA,FEX_C,n_hijos_oficial
1000000,87,7,11001169,2,45.8527037,2
1000007,87,7,11001169,2,48.9764026,15
1000008,87,7,11001169,2,45.0317704,2
1000009,84,7,11001107,2,77.5927197,4
1000011,84,7,11001107,2,67.2393982,8
1000014,87,7,11001169,2,41.7449911,5
1000018,87,7,11001169,2,62.0322866,10
1000022,87,7,11001169,2,66.2841228,2
1000024,87,7,11001169,2,65.3862769,8
1000025,87,7,11001169,2,48.698928,4
1000028,47,8,11001133,3,43.0457078,3
1000029,47,8,11001133,3,37.3322854,4
1000033,58,5,11001117,2,40.4017252,8
1000035,58,5,11001117,2,27.8894371,3
1000043,77,9,11001173,2,27.1156908,4
1000049,34,4,11001101,3,32.7923641,3
1000050,34,4,11001101,3,67.396425,12
1000053,34,4,11001101,3,30.3151287,4
1000055,34,4,11001101,3,32.6827104,6
1000056,34,4,11001101,3,41.4219336,3
1000059,50,4,11001136,2,37.9909314,5
1000060,50,4,11001136,2,36.0569222,3
1000063,69,19,11001131,2,66.7668009,4
1000065,47,8,11001133,3,40.9487493,3
1000075,69,19,11001131,2,88.5421052,4
1000082,69,19,11001131,3,78.2056623,4
1000083,69,19,11001131,1,70.9403937,2
1000107,85,7,11001106,2,93.3743685,4
1000113,85,7,11001106,2,99.9974019,3
1000124,85,7,11001106,2,96.1137802,18
1000127,85,7,11001106,2,134.3955121,4
1000145,815,19,11001188,1,20.4573616,3
1000147,815,19,11001188,1,15.3230993,8
1000150,69,19,11001131,2,81.0139887,4
1000157,815,19,11001188,1,23.0044669,8
1000158,815,19,11001188,1,13.7870221,3
1000159,69,19,11001131,2,77.305697,4
1000164,54,18,11001148,2,51.30528,8
1000169,69,19,11001131,1,59.5347895,8
1000171,18,11,11001109,3,40.1980354,24
1000176,82,8,11001153,2,44.3394043,4
1000178,82,8,11001153,2,60.2077468,10
1000191,82,8,11001153,2,37.2283256,6
1000197,803,1,11001176,6,61.7558577,3
1000205,76,9,11001125,2,16.7268787,4
1000211,76,9,11001125,2,14.5503067,15
1000214,23,11,11001112,4,28.917778,4
1000216,23,11,11001112,4,28.8678849,3
1000228,72,10,11001105,3,42.532431,4
1000233,58,5,11001117,2,41.7687009,8
1000235,58,5,11001117,2,30.7206933,6
1000236,58,5,11001117,2,38.951618,4
1000238,58,5,11001117,2,37.1507134,5
1000252,40,16,11001114,3,51.7070867,4
1000266,40,16,11001114,3,55.0457408,18
1000277,54,18,11001148,2,56.0780876,18
1000279,82,8,11001153,2,47.2533279,10
1000280,82,8,11001153,2,45.7500385,2
1000281,76,9,11001125,3,15.4748447,5
1000284,33,4,11001163,2,18.945131,8
1000293,62,6,11001171,2,16.5094233,4
1000305,62,6,11001171,2,15.7703215,2
1000308,62,6,11001171,2,27.3611391,4
1000313,62,6,11001171,2,22.99816,2
1000317,62,6,11001171,2,8.5847969,4
1000322,62,6,11001171,2,12.0693925,3
