COD_UPZ_GRUPO,COD_LOCALIDAD,ESTRATO2021,n_personas_oficial,n_hogares_oficial,n_personas_oficial_expandido
100,13,11001126,371,74,8285.2554275
101,13,11001165,293,68,4842.0578978
102,14,11001138,916,151,15604.803056
107,13,11001154,142,36,2332.5636746
109,13,11001116,116,23,1347.8239789
11,1,11001158,1088,190,33060.6966678
110,9,11001115,182,40,4328.8515622
112,9,11001130,357,88,8616.4836653
114,9,11001150,390,71,7074.4594944
116,10,11001197,395,76,2649.8310962
12,1,11001170,374,72,9635.5566404
13,1,11001144,111,25,6779.0381666
14,1,11001193,306,61,8392.4494117
18,11,11001109,319,54,12716.9199448
19,11,11001121,335,47,16395.7219193
20,11,11001195,86,21,1750.3310044
21,12,11001143,594,90,9606.8993493
23,11,11001112,262,55,8030.4348261000005
24,11,11001152,440,80,16983.1368936
25,11,11001196,163,34,3148.671028
26,10,11001140,776,152,35845.4090816
27,11,11001164,797,145,65135.7784596
28,11,11001122,1000,167,127975.6510106
29,10,11001149,855,148,48585.9702856
30,10,11001108,623,120,42329.2046169
32,4,11001157,1485,250,72454.8306424
33,4,11001163,883,149,19708.2281516
34,4,11001101,1260,209,43536.1674427
35,15,11001113,810,143,11432.8947229
36,18,11001192,787,157,19210.7317882
37,14,11001162,739,151,14981.9839069
38,15,11001156,687,123,21187.989114
39,18,11001155,1018,176,41297.3306332
40,16,11001114,499,102,27648.7044992
41,16,11001151,634,126,17910.8673529
42,6,11001172,862,176,71321.7530426
43,16,11001161,817,140,22828.1503083
44,8,11001102,672,127,25320.3034555
45,8,11001111,1077,191,39959.8021123
47,8,11001133,1027,154,41168.5872819
48,8,11001167,1099,170,62902.3806957
49,7,11001103,1020,177,14730.0147628
50,4,11001136,1640,263,69283.3843553
51,4,11001145,2058,302,61921.5401328
52,5,11001135,2051,303,20024.930877
53,18,11001191,1046,225,25929.2587722
54,18,11001148,1954,294,85270.3520322
55,18,11001119,1767,260,60874.2334467
57,5,11001129,1774,297,97304.4501634
58,5,11001117,1781,282,75552.6965338
62,6,11001171,1327,229,25093.1040756
65,19,11001104,1088,185,37092.8162263
66,19,11001159,1960,297,51494.690332699996
67,19,11001147,1750,277,126494.1785343
69,19,11001131,1417,233,104362.4257796
70,19,11001132,2696,360,85297.1013045
71,11,11001166,1423,222,166067.5699707
72,10,11001105,426,82,17073.236426
73,10,11001127,716,131,57090.9503793
74,10,11001123,1041,185,68132.7734913
75,9,11001124,959,160,53499.0889522
76,9,11001125,1446,250,18334.8284601
77,9,11001173,892,168,28619.3595466
78,8,11001168,1034,197,15778.3868836
79,8,11001110,1175,218,72009.529358
80,8,11001118,1740,280,36726.2002666
802,8,11001175,660,133,51870.5955264
803,1,11001176,171,39,7021.9302927
804,1,11001177,410,75,7243.7662926
806,11,11001179,290,51,8428.8795136
807,12,11001180,790,102,28061.9707287
808,13,11001181,303,63,7024.2795792
809,16,11001182,1188,181,8423.9878333
81,8,11001128,1225,212,34914.4576964
810,10,11001183,410,74,14997.6769529
811,5,11001184,2156,307,70836.6316429
812,5,11001185,1693,263,45590.2041811
813,9,11001186,341,66,3541.5466401
814,3,11001187,516,112,5635.956771
815,19,11001188,2601,361,62022.1133678
816,2,11001189,352,75,13010.541749
817,2,11001190,185,42,5809.5526445
82,8,11001153,2130,352,91798.3325886
83,8,11001141,1397,225,20929.4494235
84,7,11001107,1643,261,126672.8006372
85,7,11001106,1490,242,147076.7887484
86,7,11001120,1627,263,96952.3908614
87,7,11001169,1685,294,79866.4813342
89,2,11001160,1858,278,13469.3938252
9,1,11001194,810,135,46430.0580788
92,3,11001137,628,117,4552.2201868
94,17,11001134,494,99,4285.8936035
95,3,11001139,1352,217,11884.1290662
96,3,11001146,1909,247,36135.6312095
98,12,11001142,661,117,13222.4901033
,1,11001201,153,18,662.3100177
,11,11001211,795,115,2884.7671529
,19,11001219,1662,239,11468.864744
,2,11001202,417,65,708.2713725
,20,11001220,1938,279,3497.3775912
,3,11001203,250,34,1365.6382604
,4,11001204,19,2,30.1219521
,5,11001205,1537,246,9168.4195472
,,25099100,1135,222,6990.2860707
,,25126100,868,153,27491.1051715
,,25175100,906,159,56979.9566932
,,25175200,1487,247,17541.0655627
,,25214100,970,159,13594.4391211
,,25214200,1055,152,9235.8305065
,,25260100,1281,212,13954.752058
,,25269100,1406,248,92949.5893429
,,25286100,895,152,47923.2489559
,,25286200,902,147,1020.772654
,,25290100,1106,175,82012.3675448
,,25295100,1128,213,9731.3029904
,,25377100,856,158,8016.789664
,,25377200,988,176,10786.0909908
,,25430100,1210,211,70303.792552
,,25473100,1441,232,98066.3055971
,,25473200,1019,152,1396.9528086
,,25740100,1238,194,17472.0430136
,,25754100,1245,224,429184.1593029
,,25754200,1131,185,3804.384713
,,25758100,1441,241,15979.2420559
,,25758200,668,141,3879.8736708
,,25769100,1065,196,5177.2238308
,,25785100,762,139,3414.2654759
,,25799100,867,143,6384.8894077
,,25817100,1083,191,14898.5689564
,,25898100,715,118,1117.3431444999999
,,25899100,1163,193,64327.6489865
