directorio_hog,N_pobre_monetario,N_pobre_extremo,N_pobre_ipm,N_ingpc,N_sin_cp,N_nper,N_gm_educ_hog,N_deficit_cuantitativo,N_deficit_cualitativo,N_deficit_habitacional
1662381,0,0,1,208333.333333333,0,2,,0,1,1
1662381,0,0,1,208333.333333333,0,2,,0,1,1
2201021,0,0,0,275000,0,4,112166.67,0,0,0
2201021,0,0,0,275000,0,4,112166.67,0,0,0
2201021,0,0,0,275000,0,4,112166.67,0,0,0
2201021,0,0,0,275000,0,4,112166.67,0,0,0
2203851,1,0,0,180000,1,5,32166.666,0,1,1
2203851,1,0,0,180000,1,5,32166.666,0,1,1
2203851,1,0,0,180000,1,5,32166.666,0,1,1
2203851,1,0,0,180000,1,5,32166.666,0,1,1
2203851,1,0,0,180000,1,5,32166.666,0,1,1
2221751,0,0,0,1797333.33333333,0,5,100000,0,0,0
2221751,0,0,0,1797333.33333333,0,5,100000,0,0,0
2221751,0,0,0,1797333.33333333,0,5,100000,0,0,0
2221751,0,0,0,1797333.33333333,0,5,100000,0,0,0
2221751,0,0,0,1797333.33333333,0,5,100000,0,0,0
2273591,0,0,0,1150000,1,2,,0,0,0
2273591,0,0,0,1150000,1,2,,0,0,0
2273621,1,0,0,314000,1,3,,0,1,1
2273621,1,0,0,314000,1,3,,0,1,1
2273621,1,0,0,314000,1,3,,0,1,1
2294771,1,0,0,297916.666666667,0,4,1383000,0,0,0
2294771,1,0,0,297916.666666667,0,4,1383000,0,0,0
2294771,1,0,0,297916.666666667,0,4,1383000,0,0,0
2294771,1,0,0,297916.666666667,0,4,1383000,0,0,0
2295081,0,0,0,1081250,1,4,,0,0,0
2295081,0,0,0,1081250,1,4,,0,0,0
2295081,0,0,0,1081250,1,4,,0,0,0
2295081,0,0,0,1081250,1,4,,0,0,0
2297531,0,0,0,770000,0,2,,0,0,0
2297531,0,0,0,770000,0,2,,0,0,0
2331971,1,0,0,435488.5,0,4,384166.66,0,0,0
2331971,1,0,0,435488.5,0,4,384166.66,0,0,0
