id_establecimiento,reason
111001012475,RURAL — no school choice market
111001033901,RURAL — no school choice market
111001034665,RURAL — no school choice market
111001086690,RURAL — no school choice market
111001098833,RURAL — no school choice market
111769000247,RURAL — no school choice market
211001027485,RURAL — no school choice market
211850000043,RURAL — no school choice market
211850000108,RURAL — no school choice market
211850000698,RURAL — no school choice market
211850000710,RURAL — no school choice market
211850000736,RURAL — no school choice market
211850000841,RURAL — no school choice market
211850000868,RURAL — no school choice market
211850000876,RURAL — no school choice market
211850000884,RURAL — no school choice market
211850000981,RURAL — no school choice market
211850001007,RURAL — no school choice market
211850001074,RURAL — no school choice market
211850001121,RURAL — no school choice market
211850001171,RURAL — no school choice market
211850001180,RURAL — no school choice market
211850001317,RURAL — no school choice market
111001020401,NO DEMANDA — admision propia (Instituto Tecnico Central)
111001092983,NO DEMANDA NI SABER11 — colegio sin datos de inscripcion SED
111001801241,NO DEMANDA NI SABER11 — colegio nuevo sin datos de inscripcion SED
111001801250,NO DEMANDA NI SABER11 — colegio nuevo sin datos de inscripcion SED
111001801268,NO DEMANDA NI SABER11 — colegio nuevo sin datos de inscripcion SED
111001801322,NO DEMANDA NI SABER11 — colegio nuevo sin datos de inscripcion SED
111001801349,NO DEMANDA NI SABER11 — colegio nuevo sin datos de inscripcion SED
111848002107,NO DEMANDA — admision propia (Liceo del Ejercito)
111848002522,NO DEMANDA — admision propia (Instituto Pedagogico Nacional)
311001087547,NO DEMANDA — admision propia (Colegio Naval)
311001105944,NO DEMANDA NI SABER11 — bachillerato a distancia UNAD
