codigo_localidad,total_docentes,docentes_postgrado,docentes_profesional,docentes_normalista,docentes_tecnico,docentes_bachiller,docentes_otro,pct_docentes_postgrado
15,439,374,64,1,0,0,0,0.8519
06,1341,1111,225,5,0,0,0,0.8285
18,2338,1896,426,6,5,5,0,0.8109
12,582,503,77,2,0,0,0,0.8643
13,150,138,12,0,0,0,0,0.92
16,966,829,135,2,0,0,0,0.8582
20,113,65,42,6,0,0,0,0.5752
02,179,148,31,0,0,0,0,0.8268
03,401,323,75,2,1,0,0,0.8055
05,2756,2013,715,26,2,0,0,0.7304
07,3960,3102,821,34,2,1,0,0.7833
08,4229,3585,622,20,1,1,0,0.8477
11,3042,2526,498,16,2,0,0,0.8304
17,123,100,23,0,0,0,0,0.813
14,476,398,73,3,2,0,0,0.8361
01,969,838,126,3,2,0,0,0.8648
04,2046,1610,418,15,2,1,0,0.7869
19,3796,2871,889,30,4,2,0,0.7563
09,1118,961,154,2,1,0,0,0.8596
10,2643,2307,328,3,4,1,0,0.8729
