codigo_icfes,nombre_institucion,municipio,año,eval,lec,mat,soc,cie,ing,d_st,prom,global,pos
099002,LIC CAMPO DAVID,BOGOTÁ D.C.,2020,15,73.0,85.0,73.0,76.0,83.0,6.8,77.2,386.0,8
099002,LIC CAMPO DAVID,BOGOTÁ D.C.,2021,18,74.0,82.0,74.0,77.0,83.0,8.0,77.2,386.0,3
099002,LIC CAMPO DAVID,BOGOTÁ D.C.,2022,43,74.0,82.0,73.0,75.0,80.0,6.6,76.3,381.5,6
099002,LIC CAMPO DAVID,BOGOTÁ D.C.,2023,29,74.0,80.0,72.0,74.0,80.0,6.4,75.4,377.0,11
099002,LIC CAMPO DAVID,BOGOTÁ D.C.,2024,27,76.0,87.0,76.0,78.0,82.0,7.2,79.5,397.5,2
099002,LIC CAMPO DAVID,BOGOTÁ D.C.,2025,46,75.0,81.0,74.0,76.0,80.0,7.4,76.8,384.0,9
733097,COLEGIO CRISTIANO MONTE HEBRON - SEDE PRINCIPAL,BOGOTÁ D.C.,2020,9,68.0,67.0,62.0,66.0,73.0,6.4,66.3,331.5,314
733097,COLEGIO CRISTIANO MONTE HEBRON - SEDE PRINCIPAL,BOGOTÁ D.C.,2021,9,69.0,74.0,67.0,66.0,71.0,6.6,69.2,346.0,175
733097,COLEGIO CRISTIANO MONTE HEBRON - SEDE PRINCIPAL,BOGOTÁ D.C.,2022,13,71.0,73.0,70.0,69.0,81.0,5.6,71.5,357.5,81
733097,COLEGIO CRISTIANO MONTE HEBRON - SEDE PRINCIPAL,BOGOTÁ D.C.,2023,9,71.0,78.0,68.0,70.0,83.0,7.0,72.6,363.0,54
733097,COLEGIO CRISTIANO MONTE HEBRON - SEDE PRINCIPAL,BOGOTÁ D.C.,2024,7,76.0,82.0,76.0,78.0,86.0,7.0,78.6,393.0,3
733097,COLEGIO CRISTIANO MONTE HEBRON - SEDE PRINCIPAL,BOGOTÁ D.C.,2025,12,75.0,84.0,73.0,75.0,86.0,6.2,77.5,387.5,8
156166,GIMN ALESSANDRO VOLTA - SEDE PRINCIPAL,BOGOTÁ D.C.,2020,1,76.0,69.0,74.0,67.0,73.0,0.0,71.6,358.0,61
156166,GIMN ALESSANDRO VOLTA - SEDE PRINCIPAL,BOGOTÁ D.C.,2020,20,73.0,77.0,72.0,70.0,81.0,9.8,73.6,368.0,22
156166,GIMN ALESSANDRO VOLTA - SEDE PRINCIPAL,BOGOTÁ D.C.,2021,17,71.0,74.0,69.0,67.0,77.0,6.6,70.8,354.0,98
156166,GIMN ALESSANDRO VOLTA - SEDE PRINCIPAL,BOGOTÁ D.C.,2022,12,71.0,76.0,71.0,72.0,78.0,6.4,72.9,364.5,43
156166,GIMN ALESSANDRO VOLTA - SEDE PRINCIPAL,BOGOTÁ D.C.,2023,23,72.0,74.0,69.0,68.0,78.0,7.6,71.3,356.5,94
156166,GIMN ALESSANDRO VOLTA - SEDE PRINCIPAL,BOGOTÁ D.C.,2024,12,68.0,74.0,65.0,66.0,80.0,7.0,69.2,346.0,227
156166,GIMN ALESSANDRO VOLTA - SEDE PRINCIPAL,BOGOTÁ D.C.,2025,16,75.0,76.0,70.0,74.0,84.0,9.0,74.5,372.5,33
019810,COLEGIO ANGLO AMERICANO,BOGOTÁ D.C.,2020,169,71.0,73.0,72.0,71.0,80.0,8.0,72.4,362.0,41
019810,COLEGIO ANGLO AMERICANO,BOGOTÁ D.C.,2021,175,72.0,78.0,73.0,73.0,85.0,7.6,74.8,374.0,16
019810,COLEGIO ANGLO AMERICANO,BOGOTÁ D.C.,2022,150,74.0,76.0,72.0,72.0,85.0,7.2,74.4,372.0,17
019810,COLEGIO ANGLO AMERICANO,BOGOTÁ D.C.,2023,175,74.0,77.0,72.0,72.0,84.0,7.6,74.5,372.5,16
019810,COLEGIO ANGLO AMERICANO,BOGOTÁ D.C.,2024,174,72.0,78.0,72.0,74.0,84.0,7.4,74.8,374.0,20
019810,COLEGIO ANGLO AMERICANO,BOGOTÁ D.C.,2025,156,73.0,80.0,72.0,73.0,83.0,7.0,75.2,376.0,24
023747,LIC  DE CERVANTES PADRES AGUSTINOS,BOGOTÁ D.C.,2020,76,68.0,71.0,69.0,68.0,71.0,8.2,69.2,346.0,137
023747,LIC  DE CERVANTES PADRES AGUSTINOS,BOGOTÁ D.C.,2021,91,68.0,74.0,67.0,67.0,78.0,7.8,69.7,348.5,148
023747,LIC  DE CERVANTES PADRES AGUSTINOS,BOGOTÁ D.C.,2022,81,68.0,74.0,66.0,68.0,77.0,9.4,69.6,348.0,166
023747,LIC  DE CERVANTES PADRES AGUSTINOS,BOGOTÁ D.C.,2023,62,69.0,76.0,64.0,68.0,77.0,8.4,69.8,349.0,164
023747,LIC  DE CERVANTES PADRES AGUSTINOS,BOGOTÁ D.C.,2024,48,69.0,76.0,68.0,68.0,78.0,6.6,70.8,354.0,120
023747,LIC  DE CERVANTES PADRES AGUSTINOS,BOGOTÁ D.C.,2025,52,73.0,76.0,69.0,72.0,80.0,8.4,73.1,365.5,65
024059,LIC NAVARRA,BOGOTÁ D.C.,2020,44,68.0,75.0,74.0,69.0,77.0,7.6,71.9,359.5,57
024059,LIC NAVARRA,BOGOTÁ D.C.,2021,45,73.0,75.0,71.0,70.0,84.0,7.4,73.2,366.0,29
024059,LIC NAVARRA,BOGOTÁ D.C.,2022,56,71.0,72.0,68.0,68.0,83.0,8.0,70.8,354.0,104
024059,LIC NAVARRA,BOGOTÁ D.C.,2023,39,71.0,75.0,70.0,70.0,82.0,7.6,72.3,361.5,63
024059,LIC NAVARRA,BOGOTÁ D.C.,2024,40,72.0,80.0,72.0,72.0,85.0,6.2,74.8,374.0,20
024059,LIC NAVARRA,BOGOTÁ D.C.,2025,50,73.0,78.0,73.0,72.0,83.0,7.4,74.7,373.5,32
019695,COLEGIO SAN TARSICIO,BOGOTÁ D.C.,2020,22,63.0,69.0,64.0,65.0,79.0,8.0,66.3,331.5,314
019695,COLEGIO SAN TARSICIO,BOGOTÁ D.C.,2021,17,67.0,74.0,70.0,68.0,85.0,9.0,70.9,354.5,98
019695,COLEGIO SAN TARSICIO,BOGOTÁ D.C.,2022,18,68.0,71.0,66.0,66.0,82.0,7.4,68.8,344.0,214
019695,COLEGIO SAN TARSICIO,BOGOTÁ D.C.,2023,22,65.0,71.0,65.0,64.0,80.0,6.8,67.3,336.5,347
019695,COLEGIO SAN TARSICIO,BOGOTÁ D.C.,2024,13,65.0,72.0,61.0,66.0,84.0,8.8,67.4,337.0,355
019695,COLEGIO SAN TARSICIO,BOGOTÁ D.C.,2025,20,70.0,72.0,65.0,72.0,84.0,8.4,70.8,354.0,151
066845,INSTITUTO ALBERTO MERANI,BOGOTÁ D.C.,2020,46,72.0,70.0,74.0,69.0,73.0,8.0,71.4,357.0,68
066845,INSTITUTO ALBERTO MERANI,BOGOTÁ D.C.,2021,42,73.0,75.0,74.0,72.0,82.0,8.6,74.2,371.0,18
066845,INSTITUTO ALBERTO MERANI,BOGOTÁ D.C.,2022,51,73.0,72.0,71.0,70.0,79.0,6.2,72.1,360.5,60
066845,INSTITUTO ALBERTO MERANI,BOGOTÁ D.C.,2023,29,72.0,70.0,69.0,67.0,80.0,7.2,70.3,351.5,143
066845,INSTITUTO ALBERTO MERANI,BOGOTÁ D.C.,2024,38,73.0,72.0,72.0,70.0,79.0,7.8,72.3,361.5,73
