modelo,estimador,p_in,activas,R2_adj,Spearman,RMSE_cv,hiperparametro,delta_R2_adj
M1 - NMF,Ridge,21,21,0.2031,0.4662,0.0921,alpha=10,0.04
M1 - NMF,OLS,21,21,0.2058,0.4617,0.0945,-,0.0398
M2 - Cityscapes,Ridge,19,19,0.1676,0.4612,0.0948,alpha=10,0.0045
M4 - CS+CLIP,Ridge,23,23,0.1827,0.4579,0.0949,alpha=10,0.0196
M2 - Cityscapes,OLS,19,19,0.1707,0.4572,0.0977,-,0.0047
M0 - Controles,Ridge,13,13,0.1631,0.4501,0.0928,alpha=10,0.0
M3 - CLIP,Ridge,17,17,0.1847,0.4495,0.0941,alpha=10,0.0216
M4 - CS+CLIP,OLS,23,23,0.1861,0.449,0.0973,-,0.0201
M3 - CLIP,OLS,17,17,0.1876,0.4447,0.0965,-,0.0216
M0 - Controles,OLS,13,13,0.166,0.4416,0.0951,-,0.0
M3 - CLIP,ElasticNet,17,2,0.0562,0.3959,0.0821,alpha=0.0957531 l1=0.10,-0.0171
M3 - CLIP,Lasso,17,2,0.057,0.3954,0.0823,alpha=0.0102673,-0.0173
M4 - CS+CLIP,Lasso,23,2,0.0407,0.3954,0.0822,alpha=0.0102673,-0.0336
M2 - Cityscapes,ElasticNet,19,3,0.0583,0.3923,0.082,alpha=0.0832812 l1=0.10,-0.015
M2 - Cityscapes,Lasso,19,2,0.0584,0.3909,0.0822,alpha=0.00892997,-0.0159
M0 - Controles,Lasso,13,2,0.0743,0.3909,0.0823,alpha=0.00892997,0.0
M4 - CS+CLIP,ElasticNet,23,2,0.0434,0.3901,0.082,alpha=0.0892997 l1=0.10,-0.0299
M0 - Controles,ElasticNet,13,2,0.0733,0.3889,0.082,alpha=0.0832812 l1=0.10,0.0
M1 - NMF,ElasticNet,21,4,0.0893,0.3695,0.081,alpha=0.0776683 l1=0.10,0.016
M1 - NMF,Lasso,21,4,0.0896,0.366,0.081,alpha=0.00832812,0.0153
