variable,coef,activa
estrato_4,0.03129306640654447,True
estrato_5,-0.02521757969094611,True
estrato_6,0.016306666583800557,True
estrato_2,0.014706935907251077,True
hurto_personas,0.013314618646207524,True
topic_5,0.012041522554828155,True
n_oficiales_localidad,-0.011119507762205069,True
homicidios,0.009300490107546673,True
topic_2,-0.009161750578517475,True
puntaje_icfes_promedio,-0.0075572231729425735,True
topic_1,-0.005985983027519639,True
dist_sitp_m,-0.004912282931584697,True
topic_6,-0.004343109742032758,True
topic_4,-0.0030882390328435066,True
es_rural,-0.0028348004937560774,True
pct_no_oficial,0.002361845840127587,True
estrato_3,0.002350071947971538,True
topic_8,0.0021246197749930293,True
topic_7,0.0017920975156570193,True
topic_3,-0.0012274998477647652,True
es_tecnico,0.0,False
