variable,coef,std_err,t_stat,p_value,ci_low,ci_high
const,-0.09357556749583473,0.27654483513753986,-0.3383739473901034,0.735081404417806,-0.6355934844759797,0.4484423494843103
log_matricula,0.9728731527327901,0.012519567917303631,77.70820519996988,0.0,0.9483352505128718,0.9974110549527083
puntaje_2023,0.0007906950007717829,0.0008709998815333991,0.9078015020848922,0.36398310464591943,-0.000916433397572333,0.002497823399115899
tasa_pobreza_monetaria,0.12750377821580883,0.0802001252358366,1.5898201884457293,0.11187534187030636,-0.02968557880203282,0.2846931352336505
ingreso_percapita_promedio,2.256677646346485e-08,4.058134665061032e-08,0.556087422572643,0.5781510927812212,-5.6971201415866524e-08,1.0210475434279623e-07
dist_transmilenio_m,6.920375278693925e-06,1.1330595746896927e-05,0.6107688804085333,0.5413525980822536,-1.5287184308606765e-05,2.9127934865994616e-05
pct_no_oficial,0.001912357175661853,0.0008574154474487228,2.2303740635326266,0.025722619961955177,0.00023185377887406113,0.0035928605724496448
infraestructura_vial,0.023017133198523387,0.00965208344028761,2.384680296323415,0.01709396945405221,0.004099397279784207,0.04193486911726257
edificacion,0.01868846106147229,0.012640271465187492,1.478485736081071,0.13927781221344515,-0.0060860157651045355,0.043462937888049114
cerramiento,0.013830315485992672,0.0066354097048971035,2.0843197483021347,0.03713109218016991,0.0008251514417268006,0.026835479530258544
vegetacion,0.01856146420642557,0.014653662657836153,1.2666774607711944,0.20527064245778126,-0.010159186844532774,0.04728211525738392
vehiculos,0.012048162443302146,0.012212066357939312,0.9865785273488455,0.32384930109487686,-0.011887047795072134,0.03598337268167642
mobiliario_urbano,0.003439032505178491,0.007670806123824486,0.44832739214947975,0.6539169344599184,-0.011595471229906796,0.01847353624026378
mantenimiento,-0.011098882845320623,0.010500735481725304,-1.0569624255973584,0.2905287362129917,-0.031679946200684074,0.009482180510042827
vegetacion_percibida,0.007641142989914973,0.01407411490714821,0.5429217425270597,0.5871836851471302,-0.019943615342373804,0.035225901322203754
accesibilidad,0.014478582443662402,0.008830494521812953,1.6396117349824098,0.1010859215669019,-0.002828868784769234,0.03178603367209404
seguridad_percibida,0.00029838127471934484,0.006815161205819197,0.04378198339087986,0.9650781884833252,-0.013059089237520848,0.013655851786959538
