gamma_base,mecanismo,delta_rank,delta_rank_std,delta_q,delta_q_std,delta_vj,delta_vj_std,n_reps
0.25,BM,0.14256,0.0,-0.00134,0.0,-0.0355,0.0,1
0.25,DA,0.1457,0.0,-0.00019,0.0,-0.03536,0.0,1
0.25,proxy-SED,0.67142,0.0,0.00204,0.0,-0.07863,0.0,1
0.5,BM,0.32803,0.0,-0.00168,0.0,-0.06945,0.0,1
0.5,DA,0.33059,0.0,-0.00079,0.0,-0.06714,0.0,1
0.5,proxy-SED,1.14009,0.0,-0.00367,0.0,-0.14166,0.0,1
0.75,BM,0.62661,0.0,-0.00691,0.0,-0.09109,0.0,1
0.75,DA,0.6323,0.0,-0.00684,0.0,-0.08979,0.0,1
0.75,proxy-SED,1.71609,0.0,-0.0112,0.0,-0.18079,0.0,1
1.0,BM,1.00626,0.0,-0.02282,0.0,-0.10661,0.0,1
1.0,DA,0.98295,0.0,-0.0248,0.0,-0.10251,0.0,1
1.0,proxy-SED,2.37604,0.0,-0.02206,0.0,-0.21648,0.0,1
1.25,BM,1.45412,0.0,-0.04249,0.0,-0.12078,0.0,1
1.25,DA,1.43603,0.0,-0.04348,0.0,-0.11845,0.0,1
1.25,proxy-SED,3.04954,0.0,-0.03451,0.0,-0.2476,0.0,1
1.5,BM,2.03074,0.0,-0.06468,0.0,-0.12029,0.0,1
1.5,DA,2.03794,0.0,-0.06702,0.0,-0.11945,0.0,1
1.5,proxy-SED,3.87749,0.0,-0.04217,0.0,-0.2745,0.0,1
