variable,M0_coef,M0_se,M0_pval,M1_coef,M1_se,M1_pval,M2_coef,M2_se,M2_pval,M3_coef,M3_se,M3_pval
const,-2.820638856785247,0.033375259818813424,0.0,-2.8162668554485606,0.033092886518049494,0.0,-2.820456273799275,0.03343110168252884,0.0,-2.81607256971861,0.03313504417408896,0.0
mantenimiento_z,,,,-0.05151956523620085,0.045537346093276906,0.25789959624158953,,,,-0.04811402345016089,0.04573222087767023,0.29276216001980226
vegetacion_percibida_z,,,,0.01569902191430521,0.04297755273085779,0.7148992548793858,,,,0.015308818251953571,0.04396867751359847,0.7277083524725967
modernidad_z,,,,0.00896527733140682,0.04011407954497143,0.8231506403460698,,,,0.004759355560068193,0.04096688232259529,0.907513307892303
seguridad_percibida_z,,,,0.10705653620008618,0.03602995932203057,0.0029652270563651495,,,,0.10815086077175724,0.03614868969336662,0.002773074621038818
infraestructura_vial_z,,,,,,,0.01948272244761879,0.029573768371848837,0.5100345477569215,0.01681058779828508,0.03085414148089162,0.585863178406111
cerramiento_z,,,,,,,0.016885548971425704,0.028234131618157837,0.549803580384044,0.02254328389163014,0.029053787876455,0.43779888933223843
q_j_z,-0.278709240942362,0.10545629604652844,0.008220207986602501,-0.281435000245543,0.11175098119068934,0.01178853725875606,-0.27543326565932513,0.10692158970491092,0.00999418585587497,-0.27818589942375127,0.11325125638789928,0.014035232816432819
log_homicidios_z,-0.4410316875623278,0.03501983357338802,0.0,-0.43322150914754,0.03541124413119853,0.0,-0.4432930169204057,0.0353721411867898,0.0,-0.4355652766707377,0.035736811529300305,0.0
log_dist_sitp_z,0.025243523288301338,0.02693713202917631,0.3486930518685729,0.023377296504087555,0.02691394048238512,0.38506904866654956,0.026690120764113145,0.026800110173490564,0.3193007108879291,0.024853850737396273,0.026842139942259254,0.35448413885770935
pct_no_oficial_z,-0.3935710735520894,0.03893161965796466,0.0,-0.40492040957663405,0.03892445175226016,0.0,-0.3933107595268141,0.039177246754035416,0.0,-0.4052685410448541,0.03934895577038705,0.0
es_tecnico,0.4954389703098334,0.09253860636593807,8.609631563238906e-08,0.4526157777299815,0.08838388068174041,3.038845464153894e-07,0.49365059337026,0.09299136731090397,1.1049249337702349e-07,0.4507127739135289,0.08843286812152625,3.456878219232351e-07
R2,0.45511041458131407,,,0.46853224074009936,,,0.4567539838612966,,,0.47031654213148255,,
R2_adj,0.447864542434789,,,0.455674149790263,,,0.4465862776768824,,,0.45456919608674284,,
N,382.0,,,382.0,,,382.0,,,382.0,,
