variable,M0_coef,M0_se,M0_pval,M1_coef,M1_se,M1_pval,M2_coef,M2_se,M2_pval,M3_coef,M3_se,M3_pval
const,-2.819591298509511,0.03305252345808873,3.962567610464123e-248,-2.8132421890503925,0.032335575846456396,2.3353953641631026e-249,-2.816365511178295,0.03300617787080494,2.856845503598829e-247,-2.812019065264255,0.03240168544643047,4.628678698329508e-248
mantenimiento_z,,,,-0.009627012661619073,0.051266252154571146,0.8511478942706704,,,,0.011758757295544105,0.05315492297189779,0.825045727150354
vegetacion_percibida_z,,,,-0.06629745060060889,0.034414438995758016,0.05481067117168003,,,,-0.06936043064891574,0.034533031683594756,0.045313804387196344
modernidad_z,,,,-0.008194645782311877,0.04484186108038985,0.8550973092002487,,,,-0.0327351644296655,0.04951474374487139,0.5089471051416325
seguridad_percibida_z,,,,0.12991291837019137,0.03731561037286708,0.0005579336026058672,,,,0.11896079967757477,0.03861891840798497,0.0022220049575068204
infraestructura_vial_z,,,,,,,0.07320273767518969,0.0306988029696318,0.01759787767286807,0.04061204430524601,0.03293496148170669,0.2183219407960563
cerramiento_z,,,,,,,0.012086621742194424,0.024308888926699936,0.6193331621206027,0.03375592537966518,0.026885576302729745,0.21007499257720003
q_j_z,-0.18308914421372924,0.03847474573664346,2.7835239760008985e-06,-0.18646933595714144,0.038261993396744985,1.6261687050906423e-06,-0.18355534221463637,0.038320521132629105,2.40828746684167e-06,-0.18477960563839668,0.038453252461033906,2.2497958255664364e-06
log_homicidios_z,-0.43974651387874786,0.034943091320198426,1.4994881387389954e-30,-0.4393262127923126,0.03575577508625164,2.3341925622591273e-29,-0.4457403207261692,0.03537850704470285,1.3936756889299188e-30,-0.44216016991864815,0.03604215125671142,2.9078708325892993e-29
log_dist_sitp_z,0.018276970321670964,0.026661689322104967,0.4934418366897739,0.02837763801862918,0.026844262751054802,0.29114229315261997,0.022589780805927894,0.026476914814451167,0.39410124221673004,0.028709196511820214,0.026765957277503978,0.28414918223778635
pct_no_oficial_z,-0.423693643360717,0.03093428765805435,6.367959873620801e-35,-0.42726399521699404,0.03291865051935481,4.934718601874558e-32,-0.42678310958590315,0.031115270725742904,5.722306227521122e-35,-0.42795989632051645,0.03293451888575772,4.598594922319723e-32
es_tecnico,0.4851782713013239,0.0916484855915763,2.0404293309970509e-07,0.42298955813764066,0.0912558407346715,4.9419364940702196e-06,0.45358209795457033,0.09360880430245525,1.853558188657207e-06,0.4110092174631631,0.0929273410664136,1.2821499272911854e-05
R2,0.4673101602857632,,,0.4925320330564589,,,0.4753469008848378,,,0.4960475747464156,,
R2_adj,0.4602265188002015,,,0.48025458224330875,,,0.46552719047359137,,,0.4810652053469847,,
N,382.0,,,382.0,,,382.0,,,382.0,,
