rho,mecanismo,sesgo_inc_v,equidad_inc_q,q_medio,rank_medio,acc_ab,bp_mean
0.0,WP_learned,0.00108,0.06045,-0.02343,6.7455,0.98642,0.0
0.0,WP_baseline,0.00108,0.06045,-0.02343,6.7455,0.98642,0.0
0.0,WP_equal,0.00025,0.05981,-0.02343,6.7487,0.98642,0.0
0.2,WP_learned,0.02505,0.07283,-0.02042,6.7797,0.98832,0.0
0.2,WP_baseline,0.02505,0.07283,-0.02042,6.7797,0.98832,0.0
0.2,WP_equal,0.02585,0.07378,-0.02042,6.786,0.98832,0.0
0.4,WP_learned,0.03495,0.07665,0.01958,6.7867,0.98245,0.0
0.4,WP_baseline,0.03495,0.07665,0.01958,6.7867,0.98245,0.0
0.4,WP_equal,0.03539,0.07557,0.01958,6.7878,0.98245,0.0
0.6,WP_learned,0.04858,0.08512,0.01287,6.8863,0.98438,0.0
0.6,WP_baseline,0.04858,0.08512,0.01287,6.8863,0.98438,0.0
0.6,WP_equal,0.05112,0.0867,0.01287,6.8912,0.98438,0.0
0.8,WP_learned,0.06381,0.08534,0.01628,6.795,0.98655,0.0
0.8,WP_baseline,0.06381,0.08534,0.01628,6.795,0.98655,0.0
0.8,WP_equal,0.0646,0.08651,0.01628,6.7977,0.98655,0.0
1.0,WP_learned,0.09927,0.09927,-0.00596,6.778,0.98045,0.0
1.0,WP_baseline,0.09927,0.09927,-0.00596,6.778,0.98045,0.0
1.0,WP_equal,0.09941,0.09941,-0.00596,6.7795,0.98045,0.0
